孩	hai
孪	luan
孫	sun
孬	nao
孰	shu
孱	can
孳	zi
孵	fu
學	xue
孺	ru
孼	nie
孽	nie
孿	luan
宁	ning
宂	rong
它	ta
宄	gui
宅	zhai
宇	yu
守	shou
安	an
宋	song
完	wan
宏	hong
宓	mi
宕	dang
宗	zong
官	guan
宙	zhou
定	ding
宛	wan
宜	yi
宝	bao
实	shi
宠	chong
审	shen
客	ke
宣	xuan
室	shi
宥	you
宦	huan
宧	yi
宪	xian
宫	gong
宬	cheng
宭	qun
宰	zai
害	hai
宴	yan
宵	xiao
家	jia
宸	chen
容	rong
宽	kuan
宾	bin
宿	su
寀	cai
寂	ji
寃	yuan
寄	ji
寅	yin
密	mi
寇	kou
富	fu
寐	mei
寒	han
寓	yu
寔	shi
寖	jin
寘	zhi
寛	kuan
寝	qin
寞	mo
察	cha
寡	gua
寢	qin
寤	wu
寥	liao
實	shi
寧	ning
寨	zhai
審	shen
寫	xie
寮	liao
寯	jun
寰	huan
寱	yi
寳	bao
寵	chong
寶	bao
寸	cun
对	dui
寺	si
寻	xin
导	dao
寿	shou
封	feng
射	she
尅	ke
将	jiang
將	jiang
專	zhuan
尉	wei
尊	zun
尋	xin
對	dui
導	dao
小	xiao
少	shao
尔	er
尕	ga
尖	jian
尗	shu
尘	chen
尚	shang
尜	ga
尝	chang
尟	xian
尠	xian
尢	you
尤	you
尥	liao
尧	yao
尨	mang
尬	ga
就	jiu
尲	gan
尴	gan
尷	gan
尸	shi
尹	yin
尺	che
尻	kao
尼	ni
尽	jin
尾	wei
尿	niao
局	ju
屁	pi
层	ceng
屃	xi
屄	bi
居	ju
屆	jie
屈	qu
屉	ti
届	jie
屋	wu
屌	diao
屍	shi
屎	shi
屏	bing
屐	ji
屑	xie
展	zhan
屙	e
屜	ti
属	shu
屟	xie
屠	tu
屡	lü
